Title,Genre
Rurouni Kenshin: The Final,history
The Irishman,history
Ford v Ferrari,history
Midway,history
Buñuel in the Labyrinth of the Turtles,history
Kursk,history
The Brawler,history
Green Book,history
Django,history
Detroit,history
Silence,history
Hidden Figures,history
Hacksaw Ridge,history
Miss Hokusai,history
13 Hours: The Secret Soldiers of Benghazi,history
Spotlight,history
Steve Jobs,history
Straight Outta Compton,history
The Imitation Game,history
The Boy in the Striped Pyjamas,history
Apocalypto,history
Kingdom of Heaven,history
Troy,history
Black Hawk Down,history
Pearl Harbor,history
The Patriot,history
Saving Private Ryan,history
Braveheart,history
Schindler's List,history
The Untouchables,history
Ben-Hur,history
Cleopatra,history
The Ten Commandments,history
A Quiet Place: Day One,horror
Handling the Undead,horror
Wild Eyed and Wicked,horror
The Watchers,horror
Under Paris,horror
I Saw the TV Glow,horror
Silence of the Prey,horror
Tarot,horror
House on Rockingham,horror
Abigail,horror
Sting,horror
The First Omen,horror
Immaculate,horror
Exhuma,horror
Late Night with the Devil,horror
Broken Lance,horror
No Way Up,horror
Godzilla Minus One,horror
Five Nights at Freddy's,horror
Death Whisperer,horror
Impuratus,horror
Blood and Snow,horror
Saw X,horror
Meg 2: The Trench,horror
Hunt Club,horror
The OctoGames,horror
X,horror
The Kindred,horror
The Accursed,horror
The Conjuring: The Devil Made Me Do It,horror
A Quiet Place Part II,horror
It Chapter Two,horror
Brightburn,horror
Bird Box,horror
The Nun,horror
A Quiet Place,horror
It,horror
Alien: Covenant,horror
The Void,horror
Split,horror
The Conjuring,horror
Scream 2,horror
Species,horror
Evil Dead II,horror
Angel Heart,horror
Alien,horror
The Omen,horror
Jaws,horror
Moana 2,music
I Am: Celine Dion,music
Rite Here Rite Now,music
Gaga Chromatica Ball,music
Back to Black,music
Bob Marley: One Love,music
Trolls Band Together,music
Priscilla,music
Encanto at the Hollywood Bowl,music
One Piece Film Red,music
"Lyle, Lyle, Crocodile",music
Marry Me,music
Belle,music
Sing 2,music
CODA,music
Jesus,music
Trolls World Tour,music
Rocketman,music
The Dirt,music
Bohemian Rhapsody,music
Django,music
Coco,music
Sing,music
La La Land,music
Trolls,music
Sing Street,music
Alvin and the Chipmunks: The Road Chip,music
Straight Outta Compton,music
Descendants,music
Whiplash,music
Inside Llewyn Davis,music
Thriller Night,music
The Runaways,music
Alvin and the Chipmunks: The Squeakquel,music
Step Up,music
8 Mile,music
Glitter,music
Sister Act 2: Back in the Habit,music
Teen Witch,music
Dirty Dancing,music
Purple Rain,music
Forbidden Zone,music
The Blues Brothers,music
Saturday Night Fever,music
Doctor Dolittle,music
The Sound of Music,music
The Pirate,music
Top Hat,music
Winnie-the-Pooh: Blood and Honey 2,mystery
Inheritance,mystery
Handling the Undead,mystery
Wild Eyed and Wicked,mystery
The Watchers,mystery
Under Paris,mystery
Thabo and the Rhino Case,mystery
Breathe,mystery
Heart of the Hunter,mystery
Immaculate,mystery
Exhuma,mystery
Sleeping Dogs,mystery
Imaginary,mystery
Vampiras: The Brides,mystery
Five Nights at Freddy's,mystery
Impuratus,mystery
The Jester,mystery
Mercy,mystery
Black Lotus,mystery
Deep Water,mystery
X,mystery
The Batman,mystery
The Conjuring: The Devil Made Me Do It,mystery
The Dry,mystery
The New Mutants,mystery
Brightburn,mystery
Apostle,mystery
Thelma,mystery
Mute,mystery
Alien: Covenant,mystery
The Void,mystery
Get Out,mystery
Arrival,mystery
The Maze Runner,mystery
Prometheus,mystery
The Prestige,mystery
Donnie Darko,mystery
Dark City,mystery
Scream 2,mystery
Cop Land,mystery
Se7en,mystery
Angel Heart,mystery
The Thing,mystery
Chinatown,mystery
2001: A Space Odyssey,mystery
Psycho,mystery
The Big Sleep,mystery
Citizen Kane,mystery
